id;order_number;subtotal;delivery_fee;total_price;status;order_type;delivery_address;delivery_district;customer_name;customer_phone;notes;created_date;last_modified_date
1;énorme au défaut de;556;16972;20857;EN_COURS;CALL;à l'exception de plus coin-coin;main-d’œuvre;bien dissimuler;tellement timide;../fake-data/blob/hipster.txt;2026-08-22T12:50:13;2026-08-22T03:45:37
2;mairie payer sombre;17980;19725;27272;LIVRE;WHATSAPP;adorable;svelte;jusqu’à ce que;administration de crainte que;../fake-data/blob/hipster.txt;2026-08-22T05:47:06;2026-08-22T03:03:42
3;soudain marron;23427;6543;26344;EN_COURS;WHATSAPP;tant là;de peur de parlementaire vide;membre à vie cocorico membre titulaire;souple;../fake-data/blob/hipster.txt;2026-08-22T16:54:42;2026-08-22T05:15:31
4;d’autant que;1939;3165;18634;EN_COURS;CALL;tout;avant que sitôt;pis défendre;prestataire de services;../fake-data/blob/hipster.txt;2026-08-22T01:33:44;2026-08-21T19:55:32
5;d'entre gêner près;20575;5202;26173;EN_COURS;WHATSAPP;en creuser;vite;de façon que quand ?;entretenir ha dehors;../fake-data/blob/hipster.txt;2026-08-22T06:01:24;2026-08-22T02:00:54
6;si au-dedans de;31035;4571;18251;EN_COURS;WHATSAPP;membre de l’équipe suffisamment préciser;si bien que main-d’œuvre;du fait que au point que membre du personnel;si bien que ronfler psitt;../fake-data/blob/hipster.txt;2026-08-22T15:08:21;2026-08-22T09:34:43
7;secouriste dynamique conseil d’administration;3204;12203;11051;ANNULE;CALL;disperser au dépens de;assassiner pschitt foule;autant;badaboum;../fake-data/blob/hipster.txt;2026-08-21T23:48:04;2026-08-22T09:23:56
8;areu areu;2788;28971;1220;ANNULE;CALL;d'abord pourpre autant;groin groin;blablabla bien que imiter;prout tellement;../fake-data/blob/hipster.txt;2026-08-21T19:37:23;2026-08-22T15:37:44
9;splendide;17058;26699;7791;EN_COURS;WHATSAPP;cuicui;tant grâce à guère;psitt hôte dans la mesure où;à demi ah serrer;../fake-data/blob/hipster.txt;2026-08-22T05:07:11;2026-08-22T09:23:42
10;dynamique deçà;6857;4244;7553;LIVRE;WHATSAPP;dessiner;céans;responsable débrouiller;brusque vu que ensemble;../fake-data/blob/hipster.txt;2026-08-22T05:57:29;2026-08-22T02:30:13
11;diplomate de crainte que;15968;9198;8163;EN_COURS;CALL;avant-hier;souple hors;d’autant que;vlan joliment rappeler;../fake-data/blob/hipster.txt;2026-08-22T06:50:38;2026-08-22T01:19:45
12;énergique nonobstant à côté de;32427;10440;7531;LIVRE;CALL;ouille ressortir;clac;ressusciter bien que dring;miam entre blablabla;../fake-data/blob/hipster.txt;2026-08-21T18:38:08;2026-08-21T20:33:13
13;au lieu de célébrer;29330;30591;12105;EN_COURS;CALL;quand assurer;quoique parce que;pointer délégation;triangulaire au-delà camarade;../fake-data/blob/hipster.txt;2026-08-22T04:27:48;2026-08-22T09:56:55
14;un peu comme quand;15919;22809;11223;LIVRE;WHATSAPP;à côté de négliger;assez;quasiment;selon juger à peu près;../fake-data/blob/hipster.txt;2026-08-21T22:32:22;2026-08-22T01:59:00
15;cuicui;13587;26010;19055;ANNULE;CALL;prestataire de services briser assurément;après que svelte;rose au défaut de fonctionnaire;après que malgré à partir de;../fake-data/blob/hipster.txt;2026-08-22T06:10:23;2026-08-22T03:39:43
16;lorsque pff ici;24839;1548;21932;LIVRE;CALL;espérer à défaut de lectorat;ouin antagoniste;obtenir;suivant à seule fin de au-dess;../fake-data/blob/hipster.txt;2026-08-22T01:56:18;2026-08-22T14:05:59
17;présidence tandis que;19696;21489;30104;LIVRE;CALL;à l'égard de;soigner;causer;fade;../fake-data/blob/hipster.txt;2026-08-22T12:48:44;2026-08-22T06:31:26
18;tandis que déjà depuis;13704;4697;32325;ANNULE;WHATSAPP;oups;suffisamment;cacher envers jusqu’à ce que;chef même si au lieu de;../fake-data/blob/hipster.txt;2026-08-22T03:02:24;2026-08-21T19:42:24
19;alentour;1447;9958;17655;ANNULE;WHATSAPP;pas mal au point que;dans la mesure où trop refermer;même;loin insolite adepte;../fake-data/blob/hipster.txt;2026-08-22T06:26:12;2026-08-22T04:32:19
20;rudement sitôt croiser;4908;13259;8038;LIVRE;CALL;assez;ensuite remonter;bzzz;fidèle vu que;../fake-data/blob/hipster.txt;2026-08-22T01:27:58;2026-08-22T03:19:06
21;au-dehors patientèle quand;25323;20665;30813;ANNULE;CALL;tant plaindre;tant que malade;tôt répartir avant de;coac coac;../fake-data/blob/hipster.txt;2026-08-22T04:08:22;2026-08-22T13:30:21
22;conseil d’administration tout à fait chauffer;23548;710;10740;EN_COURS;WHATSAPP;de peur que dring;plic;si dès que;quand ? afin que;../fake-data/blob/hipster.txt;2026-08-21T23:02:27;2026-08-22T07:21:53
23;à l'entour de vivace;2809;7352;3060;EN_COURS;WHATSAPP;sur;quoique sédentaire lors de;séculaire manipuler au point que;aigre dans;../fake-data/blob/hipster.txt;2026-08-22T12:36:56;2026-08-21T20:08:27
24;encore du côté de;28770;29338;27765;EN_COURS;CALL;considérable conseil d’administration vis-à-vie de;sans pendant;à seule fin de;présidence snif;../fake-data/blob/hipster.txt;2026-08-21T22:18:48;2026-08-22T13:17:07
25;diététiste;13440;23972;7079;ANNULE;CALL;alors que;rectorat;altruiste;sans que de manière à;../fake-data/blob/hipster.txt;2026-08-22T02:44:11;2026-08-22T18:05:20
26;jusqu’à ce que sur;17976;18893;6155;ANNULE;WHATSAPP;suffisamment;pour sédentaire hier;insister;tant que parce que lâche;../fake-data/blob/hipster.txt;2026-08-21T23:47:27;2026-08-22T13:21:16
27;gérer;604;17207;20951;ANNULE;WHATSAPP;vraisemblablement au prix de;employer;ménager vers;ferme même si;../fake-data/blob/hipster.txt;2026-08-22T10:25:19;2026-08-21T22:00:45
28;commis de cuisine atchoum de peur que;9473;30625;26467;EN_COURS;CALL;si bien que à travers reparaître;contrarier;moyennant malgré pendre;circuler ha;../fake-data/blob/hipster.txt;2026-08-22T17:43:22;2026-08-22T07:04:39
29;même si arrière étant donné que;2063;7080;14515;EN_COURS;WHATSAPP;malgré dans à raison de;quant à recommander;aimable hormis électorat;conserver;../fake-data/blob/hipster.txt;2026-08-22T04:34:18;2026-08-22T17:28:19
30;cependant magenta;5065;7752;15485;EN_COURS;CALL;cot cot gestionnaire par suite de;fixer;parlementaire;secours;../fake-data/blob/hipster.txt;2026-08-22T08:11:45;2026-08-22T03:23:54
